Date,Action,Ticker,Price,Reason,Profit_USD,Profit_Pct,Balance
2025-01-02,BUY,AVGO,229.90249633789062,Top3+MA30+AI 70.1%,0.0,0.0,6700.0
2025-01-03,BUY,TSLA,410.44000244140625,Top3+MA30+AI 61.0%,0.0,0.0,3397.985757108467
2025-01-06,BUY,NVDA,149.38912963867188,Top3+MA30+AI 71.2%,0.0,0.0,76.9036673571295
2025-01-07,SELL,TSLA,394.3599853515625,🏃 弱勢反彈,-133.28633931094237,-4.03651618395883,3245.63157093772
2025-01-07,SELL,NVDA,140.10166931152344,📉 強勢回調,-210.3459590779671,-6.333657325938502,6356.3677016110905
2025-01-10,SELL,AVGO,222.30120849609375,📉 強勢回調,-113.04208393371164,-3.4255176949609583,9543.32561767738
2025-01-15,BUY,AVGO,225.95814514160156,Top3+MA30+AI 76.4%,0.0,0.0,6394.028163843845
2025-01-17,BUY,TSLA,426.5,Top3+MA30+AI 65.9%,0.0,0.0,3202.3885778057333
2025-01-22,BUY,NFLX,95.39900207519531,Top3+MA30+AI 57.0%,0.0,0.0,23.712196104292616
2025-01-24,SELL,TSLA,406.5799865722656,🏃 弱勢反彈,-152.97459175501126,-4.7929782681040045,3062.3771903873926
2025-01-27,SELL,AVGO,200.31985473632812,🛑 ATR止損,-361.1074017384717,-11.46628437078586,5850.567242482456
2025-01-27,BUY,META,657.8057250976562,Top3+MA30+AI 58.6%,0.0,0.0,2851.9072099478967
2025-02-04,BUY,AMZN,242.05999755859375,Top3+MA30+AI 56.8%,0.0,0.0,0.0
2025-02-07,SELL,AMZN,229.14999389648438,🏃 弱勢反彈,-155.9966656539077,-5.469906773606344,2695.910544293989
2025-02-11,SELL,NFLX,100.80799865722656,⏰ 到期,176.11332736267832,5.540461066640909,6050.700253358108
2025-02-13,BUY,COST,1072.45361328125,Top3+MA30+AI 68.9%,0.0,0.0,2962.147338708984
2025-02-18,SELL,META,714.1181640625,⏰ 到期,252.5335459119592,8.421546396458625,6213.340917155503
2025-02-18,BUY,META,714.1181640625,Top3+MA30+AI 60.4%,0.0,0.0,3164.0782729870775
2025-02-21,SELL,META,681.4013061523438,🏃 弱勢反彈,-143.60835049626303,-4.709609084376756,6069.732566659241
2025-02-27,SELL,COST,1017.5293579101562,🛑 ATR止損,-162.07361586661364,-5.247558333803909,8996.21186544175
2025-05-07,BUY,NFLX,115.54100036621094,Top3+MA30+AI 56.4%,0.0,0.0,6027.461949845972
2025-05-12,BUY,TSLA,318.3800048828125,Top3+MA30+AI 71.0%,0.0,0.0,3097.84983949212
2025-05-13,BUY,MU,96.7391586303711,Top3+MA30+AI 59.7%,0.0,0.0,97.18859174646741
2025-05-23,SELL,MU,93.18617248535156,📉 強勢回調,-114.13329056908287,-3.803604643970703,2983.716548923037
2025-05-27,SELL,NFLX,121.15699768066406,⏰ 到期,140.2021404162292,4.72259854828806,6092.668604935044
2025-05-27,BUY,NFLX,121.15699768066406,Top3+MA30+AI 64.7%,0.0,0.0,2980.912039824735
2025-05-29,BUY,NVDA,139.1647491455078,Top3+MA30+AI 75.1%,0.0,0.0,0.0
2025-06-02,SELL,TSLA,342.69000244140625,📉 強勢回調,219.53867128498723,7.493779483949167,3149.15078163884
2025-06-10,BUY,AMD,123.23999786376953,Top3+MA30+AI 82.7%,0.0,0.0,73.71562763181919
2025-06-13,SELL,AMD,116.16000366210938,📉 強勢回調,-180.56526652655248,-5.871210332342461,2968.5855151122873
2025-06-16,SELL,NFLX,122.53500366210938,⏰ 到期,31.369505926975762,1.0080964005570836,6111.711586149571
2025-06-16,BUY,AMD,126.38999938964844,Top3+MA30+AI 83.1%,0.0,0.0,3072.890723842473
2025-06-18,SELL,NVDA,145.46368408203125,⏰ 到期,130.83280238491352,4.389019220862549,6184.635566052122
2025-06-23,BUY,MU,121.83964538574219,Top3+MA30+AI 64.5%,0.0,0.0,3116.261299754533
2025-07-01,SELL,AMD,136.11000061035156,📉 強勢回調,229.54618744542313,7.553791350213047,6384.628349507055
2025-07-01,SELL,MU,120.65198516845703,📉 強勢回調,-33.890194737999536,-1.1045000315066735,9419.112421066644
2025-07-01,BUY,MU,120.65198516845703,Top3+MA30+AI 78.8%,0.0,0.0,6310.805322114651
2025-07-02,BUY,AMD,138.52000427246094,Top3+MA30+AI 56.3%,0.0,0.0,3195.9506763357736
2025-07-09,BUY,NVDA,162.86175537109375,Top3+MA30+AI 55.3%,0.0,0.0,77.35636608788582
2025-07-14,SELL,MU,118.48789978027344,🏃 弱勢反彈,-59.71656193362378,-1.9211924701313463,3125.9469031062545
2025-07-22,SELL,AMD,154.72000122070312,⏰ 到期,360.05020362798905,11.559133396992191,6600.851752513121
