Date,Equity
2026-01-01,1000.0
2026-01-02,1000.0
2026-01-03,1000.0
2026-01-04,1000.0
2026-01-05,998.0
2026-01-06,996.53
2026-01-07,992.12
2026-01-08,1019.01
2026-01-09,1035.75
2026-01-10,998.0
2026-01-11,998.0
2026-01-12,1035.6
2026-01-13,1046.48
2026-01-14,1049.41
2026-01-15,1035.31
2026-01-16,1034.72
2026-01-17,998.0
2026-01-18,998.0
2026-01-19,998.0
2026-01-20,1053.97
2026-01-21,1057.79
2026-01-22,1055.73
2026-01-23,1070.57
2026-01-24,998.0
2026-01-25,998.0
2026-01-26,1065.87
2026-01-27,1080.41
2026-01-28,1073.21
2026-01-29,1078.64
2026-01-30,1098.92
2026-01-31,998.0
2026-02-01,998.0
2026-02-02,1106.55
2026-02-03,1129.47
2026-02-04,1136.23
2026-02-05,1153.27
2026-02-06,1160.91
2026-02-07,998.0
2026-02-08,998.0
2026-02-09,1145.33
2026-02-10,998.0
