Date,Action,Ticker,Price,Reason,Balance
2025-01-02,BUY,TSLA,379.2799987792969,AI信心 31.4%,0.0
2025-01-13,SELL,TSLA,403.30999755859375,⏰ 到期 (11天),1063.3568837181945
2025-01-13,BUY,TSLA,403.30999755859375,AI信心 26.3%,0.0
2025-01-23,SELL,TSLA,412.3800048828125,⏰ 到期 (10天),1087.2706343863297
2025-01-29,BUY,MU,88.71924591064453,AI信心 14.9%,0.0
2025-02-10,SELL,MU,95.61663055419922,⏰ 到期 (12天),1171.7993485342986
2025-02-10,BUY,AMD,110.4800033569336,AI信心 12.0%,0.0
2025-02-20,SELL,AMD,114.16999816894531,⏰ 到期 (10天),1210.9370511540271
2025-02-24,BUY,V,347.26104736328125,AI信心 11.8%,0.0
2025-03-06,SELL,V,341.6034240722656,⏰ 到期 (10天),1191.2083032377782
2025-03-06,BUY,V,341.6034240722656,AI信心 11.5%,0.0
2025-03-17,SELL,V,332.0647888183594,⏰ 到期 (11天),1157.9460443863973
2025-04-04,BUY,MU,64.59258270263672,AI信心 20.9%,0.0
2025-04-09,SELL,MU,77.71669006347656,💰 止盈 (+20.3%),1393.2208633938517
2025-04-09,BUY,MU,77.71669006347656,AI信心 18.0%,0.0
2025-04-10,SELL,MU,69.9120864868164,🛑 止損 (-10.0%),1253.3083616565796
2025-04-14,BUY,MU,70.88017272949219,AI信心 13.4%,0.0
2025-04-21,SELL,MU,66.60859680175781,🛑 止損 (-6.0%),1177.7780458923673
2025-04-21,BUY,MU,66.60859680175781,AI信心 16.4%,0.0
2025-04-24,SELL,MU,77.26757049560547,💰 止盈 (+16.0%),1366.250792822036
2025-04-24,BUY,MU,77.26757049560547,AI信心 12.2%,0.0
2025-05-05,SELL,MU,80.26166534423828,⏰ 到期 (11天),1419.1925953724553
2025-05-05,BUY,MU,80.26166534423828,AI信心 11.4%,0.0
2025-05-12,SELL,MU,92.1082992553711,💰 止盈 (+14.8%),1628.6656365143165
2025-05-12,BUY,NFLX,111.0,AI信心 12.0%,0.0
2025-05-22,SELL,NFLX,118.7969970703125,⏰ 到期 (10天),1743.0683499955846
2025-05-22,BUY,NFLX,118.7969970703125,AI信心 10.1%,0.0
2025-06-02,SELL,NFLX,121.89800262451172,⏰ 到期 (11天),1788.5683606691368
2025-06-02,BUY,TSLA,342.69000244140625,AI信心 24.5%,0.0
2025-06-05,SELL,TSLA,284.70001220703125,🛑 止損 (-16.9%),1485.906885196273
2025-06-05,BUY,TSLA,284.70001220703125,AI信心 23.2%,0.0
2025-06-10,SELL,TSLA,326.0899963378906,💰 止盈 (+14.5%),1701.9295749089974
2025-06-10,BUY,AVGO,243.1728515625,AI信心 15.3%,0.0
2025-06-20,SELL,AVGO,249.08583068847656,⏰ 到期 (10天),1743.313610937923
2025-06-20,BUY,TSLA,322.1600036621094,AI信心 20.0%,0.0
2025-06-30,SELL,TSLA,317.6600036621094,⏰ 到期 (10天),1718.9626326661178
2025-07-21,BUY,AVGO,287.1675720214844,AI信心 10.8%,0.0
2025-07-31,SELL,AVGO,292.6377258300781,⏰ 到期 (10天),1751.7065456564237
2025-07-31,BUY,QCOM,145.1876678466797,AI信心 10.8%,0.0
2025-08-11,SELL,QCOM,146.3847198486328,⏰ 到期 (11天),1766.1491209688584
2025-08-11,BUY,INTC,20.649999618530273,AI信心 10.2%,0.0
2025-08-14,SELL,INTC,23.860000610351562,💰 止盈 (+15.5%),2040.6934567918454
2025-09-02,BUY,TSLA,329.3599853515625,AI信心 12.5%,0.0
2025-09-11,SELL,TSLA,368.80999755859375,💰 止盈 (+12.0%),2285.1232156021474
2025-09-11,BUY,TSLA,368.80999755859375,AI信心 10.1%,0.0
2025-09-15,SELL,TSLA,410.0400085449219,💰 止盈 (+11.2%),2540.5817332889455
2025-09-15,BUY,AVGO,362.77313232421875,AI信心 14.2%,0.0
2025-09-18,SELL,AVGO,344.1009216308594,🛑 止損 (-5.1%),2409.8160475730733
2025-09-18,BUY,AVGO,344.1009216308594,AI信心 14.1%,0.0
2025-09-29,SELL,AVGO,327.2738037109375,⏰ 到期 (11天),2291.9719610020607
2025-10-29,BUY,INTC,41.34000015258789,AI信心 11.1%,0.0
2025-11-04,SELL,INTC,37.029998779296875,🛑 止損 (-10.4%),2053.0168990039538
2025-11-10,BUY,MU,253.1977081298828,AI信心 20.9%,0.0
2025-11-13,SELL,MU,236.85430908203125,🛑 止損 (-6.5%),1920.498817856108
2025-11-13,BUY,MU,236.85430908203125,AI信心 19.4%,0.0
2025-11-20,SELL,MU,201.28868103027344,🛑 止損 (-15.0%),1632.1200803341537
