Date,Equity
2025-01-01,1000.0
2025-01-02,996.0
2025-01-03,1002.24
2025-01-04,1002.24
2025-01-05,1002.24
2025-01-06,1006.04
2025-01-07,999.24
2025-01-08,1005.74
2025-01-09,1005.74
2025-01-10,995.95
2025-01-11,995.95
2025-01-12,995.95
2025-01-13,990.31
2025-01-14,982.0
2025-01-15,991.99
2025-01-16,988.34
2025-01-17,1002.98
2025-01-18,1002.98
2025-01-19,1002.98
2025-01-20,1002.98
2025-01-21,1009.13
2025-01-22,1040.76
2025-01-23,1049.82
2025-01-24,1047.0
2025-01-25,1047.0
2025-01-26,1047.0
2025-01-27,1042.78
2025-01-28,1072.37
2025-01-29,1060.0
2025-01-30,1060.76
2025-01-31,1049.3
2025-02-01,1049.3
2025-02-02,1049.3
2025-02-03,1038.59
2025-02-04,1044.16
2025-02-05,1061.48
2025-02-06,1072.26
2025-02-07,1071.51
2025-02-08,1071.51
2025-02-09,1071.51
2025-02-10,1080.91
2025-02-11,1055.04
2025-02-12,1060.17
2025-02-13,1090.87
2025-02-14,1104.99
2025-02-15,1104.99
2025-02-16,1104.99
2025-02-17,1104.99
2025-02-18,1104.74
2025-02-19,1120.28
2025-02-20,1105.96
2025-02-21,1051.18
2025-02-22,1051.18
2025-02-23,1051.18
2025-02-24,1031.38
2025-02-25,989.77
2025-02-26,972.39
2025-02-27,952.97
2025-02-28,973.62
2025-03-01,973.62
2025-03-02,973.62
2025-03-03,946.65
2025-03-04,927.91
2025-03-05,945.23
2025-03-06,933.97
2025-03-07,920.93
2025-03-08,920.93
2025-03-09,920.93
2025-03-10,885.76
2025-03-11,900.69
2025-03-12,934.24
2025-03-13,910.13
2025-03-14,941.52
2025-03-15,941.52
2025-03-16,941.52
2025-03-17,935.59
2025-03-18,908.67
2025-03-19,923.05
2025-03-20,920.05
2025-03-21,926.07
2025-03-22,926.07
2025-03-23,926.07
2025-03-24,936.99
2025-03-25,948.79
2025-03-26,939.79
2025-03-27,936.64
2025-03-28,930.89
2025-03-29,930.89
2025-03-30,930.89
2025-03-31,933.56
2025-04-01,929.77
2025-04-02,929.77
2025-04-03,923.77
2025-04-04,875.08
2025-04-05,875.08
2025-04-06,875.08
2025-04-07,894.17
2025-04-08,882.57
2025-04-09,1009.36
2025-04-10,950.01
2025-04-11,958.84
2025-04-12,958.84
2025-04-13,958.84
2025-04-14,962.78
2025-04-15,957.14
2025-04-16,951.05
2025-04-17,946.62
2025-04-18,946.62
2025-04-19,946.62
2025-04-20,946.62
2025-04-21,935.49
2025-04-22,936.84
2025-04-23,937.41
2025-04-24,932.7
2025-04-25,924.18
2025-04-26,924.18
2025-04-27,924.18
2025-04-28,926.04
2025-04-29,917.44
2025-04-30,920.36
2025-05-01,915.7
2025-05-02,914.16
2025-05-03,914.16
2025-05-04,914.16
2025-05-05,914.16
2025-05-06,914.16
2025-05-07,914.16
2025-05-08,914.16
2025-05-09,914.16
2025-05-10,914.16
2025-05-11,914.16
2025-05-12,912.16
2025-05-13,909.68
2025-05-14,910.55
2025-05-15,919.21
2025-05-16,940.29
2025-05-17,940.29
2025-05-18,940.29
2025-05-19,966.44
2025-05-20,971.68
2025-05-21,949.85
2025-05-22,946.76
2025-05-23,949.5
2025-05-24,949.5
2025-05-25,949.5
2025-05-26,949.5
2025-05-27,949.54
2025-05-28,946.8
2025-05-29,948.28
2025-05-30,950.94
2025-05-31,950.94
2025-06-01,950.94
2025-06-02,948.5
2025-06-03,948.5
2025-06-04,948.5
2025-06-05,946.5
2025-06-06,958.02
2025-06-07,958.02
2025-06-08,958.02
