Date,Action,Ticker,Price,Reason,Balance
2025-01-02,BUY,COST,903.85,RSI: 12.0,666.67
2025-01-02,BUY,MSFT,415.51,RSI: 21.9,333.33
2025-01-06,BUY,PEP,140.65,RSI: 19.5,0.0
2025-01-13,SELL,MSFT,414.14,🗑️ 弱勢清理 (11天),328.23
2025-01-13,BUY,NFLX,84.03,RSI: 26.0,0.0
2025-01-14,SELL,PEP,139.38,🗑️ 弱勢清理 (8天),326.34
2025-01-23,SELL,COST,935.99,💤 資金輪動 (21天),667.46
2025-01-27,BUY,NVDA,118.39,RSI: 32.0,333.73
2025-02-03,SELL,NFLX,97.89,💤 資金輪動 (21天),711.79
2025-02-07,BUY,TSLA,361.62,RSI: 21.7,355.9
2025-02-07,BUY,AMD,107.56,RSI: 31.9,0.0
2025-02-11,SELL,TSLA,328.5,💀 嚴格止損 (-8%),319.48
2025-02-11,BUY,TSLA,328.5,RSI: 18.3,0.0
2025-02-18,SELL,NVDA,139.36,💤 資金輪動 (22天),388.5
2025-02-18,BUY,UNH,488.7,RSI: 26.7,0.0
2025-02-25,SELL,TSLA,302.8,🗑️ 弱勢清理 (14天),290.64
2025-02-25,SELL,AMD,103.96,🗑️ 弱勢清理 (18天),630.7
2025-02-25,BUY,AMZN,212.8,RSI: 17.9,315.35
2025-02-25,BUY,TSLA,302.8,RSI: 21.6,0.0
2025-02-26,SELL,UNH,452.45,🗑️ 弱勢清理 (8天),355.83
2025-02-27,BUY,MSFT,390.44,RSI: 28.0,0.0
2025-03-04,SELL,TSLA,272.04,💀 嚴格止損 (-8%),279.52
2025-03-04,BUY,JPM,245.22,RSI: 24.8,0.0
2025-03-05,SELL,AMZN,208.36,🗑️ 弱勢清理 (8天),304.81
2025-03-06,BUY,NFLX,90.64,RSI: 25.4,0.0
2025-03-10,SELL,MSFT,378.13,🗑️ 弱勢清理 (11天),340.68
2025-03-10,BUY,TSLA,222.15,RSI: 13.6,0.0
2025-03-11,SELL,JPM,224.54,💀 嚴格止損 (-8%),252.11
2025-03-11,BUY,JPM,224.54,RSI: 12.7,0.0
2025-03-18,SELL,TSLA,225.31,📉 回調鎖利 (最高+12.5%),341.5
2025-03-27,SELL,NFLX,97.67,💤 資金輪動 (21天),665.82
2025-04-01,SELL,JPM,238.76,💤 資金輪動 (21天),929.77
2025-04-03,BUY,NVDA,101.78,RSI: 23.6,619.85
2025-04-03,BUY,META,530.42,RSI: 29.3,309.92
2025-04-03,BUY,GOOGL,150.3,RSI: 32.5,-0.0
2025-04-10,SELL,META,545.06,📉 回調鎖利 (最高+10.2%),314.42
2025-04-10,SELL,NVDA,107.55,📉 回調鎖利 (最高+12.3%),637.8
2025-04-21,SELL,GOOGL,147.26,🗑️ 弱勢清理 (18天),937.49
2025-04-21,BUY,UNH,416.88,RSI: 32.8,624.99
2025-04-24,BUY,PEP,131.26,RSI: 30.3,312.5
2025-04-29,SELL,UNH,401.1,🗑️ 弱勢清理 (8天),609.24
2025-05-02,SELL,PEP,129.75,🗑️ 弱勢清理 (8天),914.16
2025-05-12,BUY,KO,68.04,RSI: 23.1,609.44
2025-05-15,BUY,UNH,268.9,RSI: 5.2,304.72
2025-05-21,SELL,UNH,296.96,📉 回調鎖利 (最高+17.2%),637.03
2025-06-02,SELL,KO,70.45,💤 資金輪動 (21天),948.5
2025-06-05,BUY,TSLA,284.7,RSI: 29.5,632.33
2025-06-20,BUY,KO,67.84,RSI: 28.4,316.17
2025-06-25,SELL,TSLA,327.55,📉 回調鎖利 (最高+22.5%),675.62
2025-07-11,SELL,KO,68.85,💤 資金輪動 (21天),992.49
2025-07-16,BUY,COST,947.42,RSI: 30.5,661.66
2025-07-18,BUY,NFLX,120.92,RSI: 29.5,330.83
2025-07-18,BUY,UNH,279.0,RSI: 33.7,0.0
2025-07-24,SELL,COST,929.92,🗑️ 弱勢清理 (8天),320.76
2025-07-28,SELL,UNH,278.48,🗑️ 弱勢清理 (10天),646.97
2025-07-28,SELL,NFLX,117.46,🗑️ 弱勢清理 (10天),964.38
2025-07-28,BUY,KO,67.1,RSI: 32.5,642.92
2025-07-29,BUY,UNH,257.7,RSI: 24.0,321.46
2025-08-01,SELL,UNH,234.7,💀 嚴格止損 (-8%),610.41
2025-08-01,BUY,UNH,234.7,RSI: 19.2,305.2
2025-08-04,BUY,AMZN,211.65,RSI: 34.4,0.0
2025-08-15,SELL,UNH,300.09,🚀 暴賺離場 (+27.9%),385.67
2025-08-18,SELL,KO,68.13,💤 資金輪動 (21天),708.01
2025-08-25,SELL,AMZN,227.94,💤 資金輪動 (21天),1032.55
2025-09-02,BUY,NVDA,170.76,RSI: 29.3,688.37
2025-09-05,BUY,AMD,151.14,RSI: 20.6,344.18
