Date,Equity
2022-01-01,1000.0
2022-01-02,1000.0
2022-01-03,1000.0
2022-01-04,1000.0
2022-01-05,998.0
2022-01-06,997.8
2022-01-07,992.51
2022-01-08,992.51
2022-01-09,992.51
2022-01-10,1004.48
2022-01-11,1012.2
2022-01-12,1024.48
2022-01-13,1003.88
2022-01-14,1010.35
2022-01-15,1010.35
2022-01-16,1010.35
2022-01-17,1010.35
2022-01-18,985.13
2022-01-19,978.74
2022-01-20,965.64
2022-01-21,944.23
2022-01-22,944.23
2022-01-23,944.23
2022-01-24,947.5
2022-01-25,919.48
2022-01-26,936.12
2022-01-27,934.47
2022-01-28,963.95
2022-01-29,963.95
2022-01-30,963.95
2022-01-31,963.95
2022-02-01,963.95
2022-02-02,963.95
2022-02-03,961.95
2022-02-04,959.24
2022-02-05,959.24
2022-02-06,959.24
2022-02-07,909.96
2022-02-08,890.83
2022-02-09,938.65
2022-02-10,922.75
2022-02-11,888.28
2022-02-12,888.28
2022-02-13,888.28
2022-02-14,880.79
2022-02-15,894.14
2022-02-16,876.1
2022-02-17,838.37
2022-02-18,838.37
2022-02-19,838.37
2022-02-20,838.37
2022-02-21,838.37
2022-02-22,836.37
2022-02-23,777.85
2022-02-24,815.24
2022-02-25,824.5
2022-02-26,824.5
2022-02-27,824.5
2022-02-28,886.16
2022-03-01,879.99
2022-03-02,895.79
2022-03-03,854.46
2022-03-04,853.44
2022-03-05,853.44
2022-03-06,853.44
2022-03-07,819.12
2022-03-08,839.3
2022-03-09,874.49
2022-03-10,849.45
2022-03-11,850.03
2022-03-12,850.03
2022-03-13,850.03
2022-03-14,865.71
2022-03-15,881.68
2022-03-16,879.32
2022-03-17,888.63
2022-03-18,888.78
2022-03-19,888.78
2022-03-20,888.78
2022-03-21,895.88
2022-03-22,899.13
2022-03-23,893.22
2022-03-24,901.79
2022-03-25,909.93
2022-03-26,909.93
2022-03-27,909.93
2022-03-28,913.7
2022-03-29,913.7
2022-03-30,913.7
2022-03-31,913.7
2022-04-01,913.7
2022-04-02,913.7
2022-04-03,913.7
2022-04-04,913.7
2022-04-05,913.7
2022-04-06,913.7
2022-04-07,913.7
2022-04-08,913.7
2022-04-09,913.7
