Date,Action,Ticker,Price,Reason,Balance
2022-01-05,BUY,GOOGL,136.74,RSI: 29.9,0.0
2022-01-28,SELL,GOOGL,132.35,💤 資金卡死 (23天),963.95
2022-02-03,BUY,META,236.11,RSI: 23.9,0.0
2022-02-17,SELL,META,206.27,🛡️ 嚴格止損 (-10%),838.37
2022-02-22,BUY,TSLA,273.84,RSI: 34.3,0.0
2022-03-10,SELL,TSLA,279.43,💤 資金卡死 (16天),851.45
2022-03-10,BUY,KO,51.37,RSI: 31.7,0.0
2022-03-28,SELL,KO,55.37,💤 資金卡死 (18天),913.69
2022-04-11,BUY,AMD,97.37,RSI: 29.5,0.0
2022-04-26,SELL,AMD,85.16,🛡️ 嚴格止損 (-10%),795.37
2022-04-26,BUY,AMZN,139.39,RSI: 25.5,0.0
2022-04-29,SELL,AMZN,124.28,🛡️ 嚴格止損 (-10%),705.37
2022-04-29,BUY,JPM,108.42,RSI: 25.5,0.0
2022-05-16,SELL,JPM,107.42,💤 資金卡死 (17天),694.89
2022-05-18,BUY,COST,410.12,RSI: 15.6,0.0
2022-06-03,SELL,COST,454.86,💤 資金卡死 (16天),766.49
2022-06-13,BUY,META,163.12,RSI: 32.6,0.0
2022-06-29,SELL,META,162.8,💤 資金卡死 (16天),761.0
2022-08-29,BUY,MSFT,258.31,RSI: 33.2,0.0
2022-09-14,SELL,MSFT,245.64,💤 資金卡死 (16天),719.77
2022-09-23,BUY,COST,446.22,RSI: 23.9,0.0
2022-10-10,SELL,COST,446.14,💤 資金卡死 (17天),715.63
2022-10-10,BUY,NVDA,11.66,RSI: 34.4,0.0
2022-10-26,SELL,NVDA,12.88,💤 資金卡死 (16天),786.6
2022-10-27,BUY,META,97.26,RSI: 25.6,0.0
2022-11-14,SELL,META,113.43,💤 資金卡死 (18天),913.02
2022-11-15,BUY,UNH,474.72,RSI: 30.7,0.0
2022-12-01,SELL,UNH,506.71,💤 資金卡死 (16天),970.42
2022-12-14,BUY,TSLA,156.8,RSI: 29.9,0.0
2022-12-20,SELL,TSLA,137.8,🛡️ 嚴格止損 (-10%),849.07
2022-12-20,BUY,TSLA,137.8,RSI: 9.5,0.0
2022-12-23,SELL,TSLA,123.15,🛡️ 嚴格止損 (-10%),755.02
2022-12-27,BUY,TSLA,109.1,RSI: 7.7,0.0
