Date,Equity
2023-01-01,1000.0
2023-01-02,1000.0
2023-01-03,998.0
2023-01-04,995.55
2023-01-05,985.15
2023-01-06,1007.4
2023-01-07,1007.4
2023-01-08,1007.4
2023-01-09,997.55
2023-01-10,989.32
2023-01-11,990.43
2023-01-12,977.81
2023-01-13,974.8
2023-01-14,974.8
2023-01-15,974.8
2023-01-16,974.8
2023-01-17,979.37
2023-01-18,954.67
2023-01-19,943.6
2023-01-20,944.99
2023-01-21,944.99
2023-01-22,944.99
2023-01-23,940.76
2023-01-24,947.49
2023-01-25,947.49
2023-01-26,947.49
2023-01-27,947.49
2023-01-28,947.49
2023-01-29,947.49
2023-01-30,947.49
2023-01-31,947.49
2023-02-01,947.49
2023-02-02,947.49
2023-02-03,947.49
2023-02-04,947.49
2023-02-05,947.49
2023-02-06,947.49
2023-02-07,947.49
2023-02-08,947.49
2023-02-09,947.49
2023-02-10,947.49
2023-02-11,947.49
2023-02-12,947.49
2023-02-13,947.49
2023-02-14,947.49
2023-02-15,947.49
2023-02-16,947.49
2023-02-17,947.49
2023-02-18,947.49
2023-02-19,947.49
2023-02-20,947.49
2023-02-21,947.49
2023-02-22,945.49
2023-02-23,913.79
2023-02-24,895.43
2023-02-25,895.43
2023-02-26,895.43
2023-02-27,912.04
2023-02-28,909.5
2023-03-01,885.07
2023-03-02,880.56
2023-03-03,889.87
2023-03-04,889.87
2023-03-05,889.87
2023-03-06,880.98
2023-03-07,870.93
2023-03-08,880.3
2023-03-09,836.75
2023-03-10,858.0
2023-03-11,858.0
2023-03-12,858.0
2023-03-13,842.59
2023-03-14,864.22
2023-03-15,823.39
2023-03-16,839.38
2023-03-17,807.66
2023-03-18,807.66
2023-03-19,807.66
2023-03-20,816.2
2023-03-21,838.09
2023-03-22,816.46
2023-03-23,814.28
2023-03-24,801.89
2023-03-25,801.89
2023-03-26,801.89
2023-03-27,822.87
2023-03-28,822.87
2023-03-29,822.87
2023-03-30,822.87
2023-03-31,822.87
2023-04-01,822.87
2023-04-02,822.87
2023-04-03,822.87
2023-04-04,822.87
2023-04-05,822.87
2023-04-06,822.87
2023-04-07,822.87
2023-04-08,822.87
2023-04-09,822.87
2023-04-10,822.87
2023-04-11,822.87
2023-04-12,822.87
2023-04-13,822.87
2023-04-14,822.87
2023-04-15,822.87
2023-04-16,822.87
2023-04-17,822.87
2023-04-18,822.87
2023-04-19,822.87
2023-04-20,820.87
2023-04-21,831.4
2023-04-22,831.4
2023-04-23,831.4
2023-04-24,818.65
2023-04-25,809.19
2023-04-26,774.33
2023-04-27,806.77
2023-04-28,827.52
2023-04-29,827.52
2023-04-30,827.52
2023-05-01,815.03
2023-05-02,807.37
2023-05-03,808.88
2023-05-04,811.85
2023-05-05,856.48
2023-05-06,856.48
2023-05-07,856.48
2023-05-08,863.19
2023-05-09,863.19
2023-05-10,863.19
2023-05-11,863.19
2023-05-12,863.19
2023-05-13,863.19
2023-05-14,863.19
2023-05-15,863.19
2023-05-16,863.19
2023-05-17,863.19
2023-05-18,861.19
2023-05-19,861.6
2023-05-20,861.6
2023-05-21,861.6
2023-05-22,843.5
2023-05-23,841.99
2023-05-24,834.86
