Date,Action,Ticker,Price,Reason,Balance
2023-01-03,BUY,PEP,159.38,RSI: 33.4,0.0
2023-01-24,SELL,PEP,151.64,💤 資金卡死 (21天),947.49
2023-02-22,BUY,NFLX,33.49,RSI: 32.1,0.0
2023-03-09,SELL,NFLX,29.78,🛡️ 嚴格止損 (-10%),838.75
2023-03-09,BUY,JPM,120.78,RSI: 28.8,0.0
2023-03-27,SELL,JPM,119.07,💤 資金卡死 (18天),822.87
2023-04-20,BUY,TSLA,162.99,RSI: 28.8,0.0
2023-05-08,SELL,TSLA,171.79,💤 資金卡死 (18天),863.19
2023-05-18,BUY,KO,57.06,RSI: 32.4,0.0
2023-06-05,SELL,KO,55.2,💤 資金卡死 (18天),831.08
2023-06-26,BUY,GOOGL,117.3,RSI: 32.3,0.0
2023-07-12,SELL,GOOGL,117.88,💤 資金卡死 (16天),831.21
2023-07-12,BUY,UNH,425.14,RSI: 27.7,0.0
2023-07-28,SELL,UNH,473.34,💤 資金卡死 (16天),921.22
2023-08-11,BUY,NVDA,40.78,RSI: 32.6,0.0
2023-08-28,SELL,NVDA,46.74,💤 資金卡死 (17天),1051.77
2023-08-31,BUY,UNH,448.56,RSI: 21.8,0.0
2023-09-18,SELL,UNH,459.26,💤 資金卡死 (18天),1072.82
2023-09-21,BUY,NVDA,40.94,RSI: 8.2,0.0
2023-10-09,SELL,NVDA,45.19,💤 資金卡死 (18天),1179.93
2023-10-13,BUY,NFLX,35.57,RSI: 27.3,0.0
2023-10-30,SELL,NFLX,41.01,💤 資金卡死 (17天),1356.09
2023-12-20,BUY,UNH,489.15,RSI: 18.0,0.0
