Date,Equity
2024-01-01,1000.0
2024-01-02,1000.0
2024-01-03,1000.0
2024-01-04,1000.0
2024-01-05,1000.0
2024-01-06,1000.0
2024-01-07,1000.0
2024-01-08,1000.0
2024-01-09,1000.0
2024-01-10,1000.0
2024-01-11,998.0
2024-01-12,961.41
2024-01-13,961.41
2024-01-14,961.41
2024-01-15,961.41
2024-01-16,965.89
2024-01-17,946.74
2024-01-18,930.62
2024-01-19,931.98
2024-01-20,931.98
2024-01-21,931.98
2024-01-22,917.1
2024-01-23,918.59
2024-01-24,912.83
2024-01-25,798.15
2024-01-26,800.86
2024-01-27,800.86
2024-01-28,800.86
2024-01-29,834.42
2024-01-30,837.31
2024-01-31,818.52
2024-02-01,825.38
2024-02-02,821.23
2024-02-03,821.23
2024-02-04,821.23
2024-02-05,791.29
2024-02-06,808.95
2024-02-07,819.78
2024-02-08,828.44
2024-02-09,845.96
2024-02-10,845.96
2024-02-11,845.96
2024-02-12,820.19
2024-02-13,820.19
2024-02-14,820.19
2024-02-15,820.19
2024-02-16,820.19
2024-02-17,820.19
2024-02-18,820.19
2024-02-19,820.19
2024-02-20,820.19
2024-02-21,820.19
2024-02-22,820.19
2024-02-23,820.19
2024-02-24,820.19
2024-02-25,820.19
2024-02-26,820.19
2024-02-27,820.19
2024-02-28,818.19
2024-02-29,810.5
2024-03-01,803.82
2024-03-02,803.82
2024-03-03,803.82
2024-03-04,791.24
2024-03-05,776.92
2024-03-06,776.02
2024-03-07,786.17
2024-03-08,785.62
2024-03-09,785.62
2024-03-10,785.62
2024-03-11,806.36
2024-03-12,806.69
2024-03-13,804.47
2024-03-14,806.12
2024-03-15,807.12
2024-03-16,807.12
2024-03-17,807.12
2024-03-18,807.12
2024-03-19,807.12
2024-03-20,807.12
2024-03-21,807.12
2024-03-22,807.12
2024-03-23,807.12
2024-03-24,807.12
2024-03-25,807.12
2024-03-26,807.12
2024-03-27,807.12
2024-03-28,807.12
2024-03-29,807.12
2024-03-30,807.12
2024-03-31,807.12
2024-04-01,807.12
2024-04-02,805.12
2024-04-03,807.93
2024-04-04,800.26
2024-04-05,800.9
2024-04-06,800.9
2024-04-07,800.9
2024-04-08,801.35
2024-04-09,807.89
2024-04-10,790.9
2024-04-11,776.26
2024-04-12,771.83
2024-04-13,771.83
2024-04-14,771.83
2024-04-15,783.13
2024-04-16,824.01
2024-04-17,841.76
2024-04-18,862.69
2024-04-19,846.12
2024-04-20,846.12
2024-04-21,846.12
2024-04-22,817.35
2024-04-23,832.48
2024-04-24,932.89
2024-04-25,979.21
2024-04-26,968.34
2024-04-27,968.34
2024-04-28,968.34
2024-04-29,1116.56
2024-04-30,1050.59
2024-05-01,1065.73
2024-05-02,1073.55
2024-05-03,1097.35
2024-05-04,1097.35
2024-05-05,1097.35
2024-05-06,1115.92
2024-05-07,1104.58
2024-05-08,1107.82
2024-05-09,1112.63
2024-05-10,1119.16
2024-05-11,1119.16
2024-05-12,1119.16
2024-05-13,1116.4
2024-05-14,1124.07
2024-05-15,1143.72
2024-05-16,1136.07
2024-05-17,1136.07
2024-05-18,1136.07
2024-05-19,1136.07
2024-05-20,1136.07
2024-05-21,1136.07
2024-05-22,1136.07
2024-05-23,1136.07
2024-05-24,1136.07
2024-05-25,1136.07
2024-05-26,1136.07
2024-05-27,1136.07
2024-05-28,1136.07
2024-05-29,1136.07
2024-05-30,1134.07
2024-05-31,1150.17
2024-06-01,1150.17
2024-06-02,1150.17
2024-06-03,1139.06
2024-06-04,1156.75
2024-06-05,1154.09
2024-06-06,1152.16
2024-06-07,1146.77
2024-06-08,1146.77
2024-06-09,1146.77
2024-06-10,1112.3
2024-06-11,1106.74
2024-06-12,1098.43
2024-06-13,1095.07
2024-06-14,1098.29
2024-06-15,1098.29
2024-06-16,1098.29
2024-06-17,1111.91
2024-06-18,1109.91
2024-06-19,1109.91
2024-06-20,1161.24
2024-06-21,1157.29
2024-06-22,1157.29
2024-06-23,1157.29
2024-06-24,1150.25
2024-06-25,1150.25
2024-06-26,1130.8
2024-06-27,1144.65
2024-06-28,1164.32
2024-06-29,1164.32
2024-06-30,1164.32
2024-07-01,1131.88
2024-07-02,1179.4
2024-07-03,1176.45
2024-07-04,1176.45
2024-07-05,1231.88
2024-07-06,1231.88
2024-07-07,1231.88
2024-07-08,1231.88
2024-07-09,1231.88
2024-07-10,1231.88
2024-07-11,1231.88
2024-07-12,1229.88
2024-07-13,1229.88
2024-07-14,1229.88
2024-07-15,1246.68
2024-07-16,1246.44
2024-07-17,1229.61
2024-07-18,1221.22
2024-07-19,1202.79
2024-07-20,1202.79
2024-07-21,1202.79
2024-07-22,1229.69
2024-07-23,1220.68
2024-07-24,1207.83
2024-07-25,1204.22
2024-07-26,1199.05
2024-07-27,1199.05
2024-07-28,1199.05
2024-07-29,1188.68
2024-07-30,1186.68
2024-07-31,1338.72
2024-08-01,1247.37
2024-08-02,1245.37
2024-08-03,1245.37
2024-08-04,1245.37
2024-08-05,1194.34
2024-08-06,1201.09
2024-08-07,1207.32
2024-08-08,1229.79
2024-08-09,1238.25
2024-08-10,1238.25
2024-08-11,1238.25
2024-08-12,1237.21
2024-08-13,1262.65
2024-08-14,1261.69
2024-08-15,1317.24
2024-08-16,1313.31
2024-08-17,1313.31
2024-08-18,1313.31
2024-08-19,1319.92
2024-08-20,1319.92
2024-08-21,1319.92
2024-08-22,1319.92
2024-08-23,1319.92
2024-08-24,1319.92
2024-08-25,1319.92
2024-08-26,1319.92
2024-08-27,1319.92
2024-08-28,1319.92
2024-08-29,1319.92
2024-08-30,1319.92
2024-08-31,1319.92
2024-09-01,1319.92
2024-09-02,1319.92
2024-09-03,1319.92
2024-09-04,1319.92
2024-09-05,1319.92
2024-09-06,1317.92
2024-09-07,1317.92
2024-09-08,1317.92
2024-09-09,1329.82
2024-09-10,1329.82
2024-09-11,1348.37
2024-09-12,1384.65
2024-09-13,1382.06
2024-09-14,1382.06
2024-09-15,1382.06
2024-09-16,1406.22
2024-09-17,1414.23
2024-09-18,1418.53
2024-09-19,1474.3
2024-09-20,1480.24
2024-09-21,1480.24
2024-09-22,1480.24
2024-09-23,1486.31
2024-09-24,1486.31
2024-09-25,1486.31
2024-09-26,1486.31
