Date,Equity
2025-01-01,1000.0
2025-01-02,998.0
2025-01-03,1005.43
2025-01-04,1005.43
2025-01-05,1005.43
2025-01-06,1012.15
2025-01-07,1010.68
2025-01-08,1017.26
2025-01-09,1017.26
2025-01-10,1027.76
2025-01-11,1027.76
2025-01-12,1027.76
2025-01-13,1014.33
2025-01-14,1006.14
2025-01-15,1013.02
2025-01-16,1008.9
2025-01-17,1034.62
2025-01-18,1034.62
2025-01-19,1034.62
2025-01-20,1034.62
2025-01-21,1037.6
2025-01-22,1037.6
2025-01-23,1037.6
2025-01-24,1037.6
2025-01-25,1037.6
2025-01-26,1037.6
2025-01-27,1035.6
2025-01-28,1128.03
2025-01-29,1081.77
2025-01-30,1090.08
2025-01-31,1050.03
2025-02-01,1050.03
2025-02-02,1050.03
2025-02-03,1020.2
2025-02-04,1037.61
2025-02-05,1091.65
2025-02-06,1125.32
2025-02-07,1135.46
2025-02-08,1135.46
2025-02-09,1135.46
2025-02-10,1168.08
2025-02-11,1161.35
2025-02-12,1144.83
2025-02-13,1144.83
2025-02-14,1144.83
2025-02-15,1144.83
2025-02-16,1144.83
2025-02-17,1144.83
2025-02-18,1142.83
2025-02-19,1166.36
2025-02-20,1146.69
2025-02-21,1064.53
2025-02-22,1064.53
2025-02-23,1064.53
2025-02-24,1053.34
2025-02-25,1073.56
2025-02-26,1058.07
2025-02-27,1069.41
2025-02-28,1084.02
2025-03-01,1084.02
2025-03-02,1084.02
2025-03-03,1065.96
2025-03-04,1083.22
2025-03-05,1086.35
2025-03-06,1109.14
2025-03-07,1090.48
2025-03-08,1090.48
2025-03-09,1090.48
2025-03-10,1060.58
2025-03-11,1095.36
2025-03-12,1125.44
2025-03-13,1089.33
2025-03-14,1123.38
2025-03-15,1123.38
2025-03-16,1123.38
2025-03-17,1162.57
2025-03-18,1138.04
2025-03-19,1174.16
2025-03-20,1163.57
2025-03-21,1175.14
2025-03-22,1175.14
2025-03-23,1175.14
2025-03-24,1187.45
2025-03-25,1187.45
2025-03-26,1187.45
2025-03-27,1187.45
2025-03-28,1187.45
2025-03-29,1187.45
2025-03-30,1187.45
2025-03-31,1187.45
2025-04-01,1187.45
2025-04-02,1187.45
2025-04-03,1185.45
2025-04-04,1098.23
2025-04-05,1098.23
2025-04-06,1098.23
2025-04-07,1137.01
2025-04-08,1121.41
2025-04-09,1331.36
2025-04-10,1250.64
2025-04-11,1250.64
2025-04-12,1250.64
2025-04-13,1250.64
2025-04-14,1250.64
2025-04-15,1250.64
2025-04-16,1250.64
2025-04-17,1250.64
2025-04-18,1250.64
2025-04-19,1250.64
2025-04-20,1250.64
2025-04-21,1248.64
2025-04-22,1254.08
2025-04-23,1256.37
2025-04-24,1245.47
2025-04-25,1229.0
2025-04-26,1229.0
2025-04-27,1229.0
2025-04-28,1233.0
2025-04-29,1201.38
2025-04-30,1207.87
2025-05-01,1176.28
2025-05-02,1174.05
2025-05-03,1174.05
2025-05-04,1174.05
2025-05-05,1188.4
2025-05-06,1158.17
2025-05-07,1148.04
2025-05-08,1131.86
2025-05-09,1115.45
2025-05-10,1115.45
2025-05-11,1115.45
2025-05-12,1113.45
2025-05-13,1104.32
2025-05-14,1107.52
2025-05-15,1146.76
2025-05-16,1153.0
2025-05-17,1153.0
2025-05-18,1153.0
2025-05-19,1151.88
2025-05-20,1148.04
2025-05-21,1150.6
2025-05-22,1139.23
2025-05-23,1149.32
2025-05-24,1149.32
2025-05-25,1149.32
2025-05-26,1149.32
2025-05-27,1149.48
2025-05-28,1137.39
2025-05-29,1137.39
2025-05-30,1137.39
2025-05-31,1137.39
2025-06-01,1137.39
2025-06-02,1137.39
2025-06-03,1137.39
2025-06-04,1137.39
2025-06-05,1135.39
2025-06-06,1177.03
2025-06-07,1177.03
2025-06-08,1177.03
2025-06-09,1230.62
2025-06-10,1300.45
2025-06-11,1301.81
2025-06-12,1272.62
2025-06-13,1297.34
2025-06-14,1297.34
2025-06-15,1297.34
2025-06-16,1312.58
2025-06-17,1261.61
2025-06-18,1284.34
2025-06-19,1284.34
2025-06-20,1284.78
2025-06-21,1284.78
2025-06-22,1284.78
2025-06-23,1388.54
2025-06-24,1388.54
2025-06-25,1388.54
2025-06-26,1388.54
2025-06-27,1388.54
2025-06-28,1388.54
2025-06-29,1388.54
2025-06-30,1388.54
2025-07-01,1388.54
2025-07-02,1388.54
2025-07-03,1388.54
2025-07-04,1388.54
2025-07-05,1388.54
2025-07-06,1388.54
2025-07-07,1388.54
2025-07-08,1388.54
2025-07-09,1388.54
2025-07-10,1388.54
2025-07-11,1388.54
2025-07-12,1388.54
2025-07-13,1388.54
2025-07-14,1388.54
2025-07-15,1388.54
2025-07-16,1386.54
2025-07-17,1390.25
2025-07-18,1385.93
2025-07-19,1385.93
2025-07-20,1385.93
2025-07-21,1380.99
2025-07-22,1372.32
2025-07-23,1371.71
2025-07-24,1360.94
2025-07-25,1363.39
2025-07-26,1363.39
2025-07-27,1363.39
2025-07-28,1361.21
2025-07-29,1362.06
2025-07-30,1351.77
2025-07-31,1369.45
2025-08-01,1386.14
2025-08-02,1386.14
2025-08-03,1386.14
2025-08-04,1404.86
2025-08-05,1463.27
2025-08-06,1432.84
2025-08-07,1426.37
2025-08-08,1462.63
2025-08-09,1462.63
2025-08-10,1462.63
2025-08-11,1471.26
2025-08-12,1524.89
2025-08-13,1584.59
2025-08-14,1582.72
2025-08-15,1772.31
2025-08-16,1772.31
2025-08-17,1772.31
2025-08-18,1796.42
2025-08-19,1796.42
2025-08-20,1796.42
2025-08-21,1796.42
2025-08-22,1796.42
2025-08-23,1796.42
2025-08-24,1796.42
2025-08-25,1796.42
2025-08-26,1796.42
2025-08-27,1796.42
2025-08-28,1796.42
2025-08-29,1796.42
2025-08-30,1796.42
2025-08-31,1796.42
2025-09-01,1796.42
2025-09-02,1794.42
2025-09-03,1792.74
2025-09-04,1803.67
2025-09-05,1754.92
2025-09-06,1754.92
2025-09-07,1754.92
2025-09-08,1768.47
2025-09-09,1794.21
2025-09-10,1863.25
2025-09-11,1861.67
2025-09-12,1868.5
2025-09-13,1868.5
2025-09-14,1868.5
2025-09-15,1867.77
2025-09-16,1837.61
2025-09-17,1789.38
2025-09-18,1849.9
2025-09-19,1849.9
2025-09-20,1849.9
2025-09-21,1849.9
2025-09-22,1849.9
2025-09-23,1849.9
2025-09-24,1847.9
2025-09-25,1830.61
2025-09-26,1844.29
2025-09-27,1844.29
2025-09-28,1844.29
2025-09-29,1864.35
2025-09-30,1842.53
2025-10-01,1851.42
2025-10-02,1866.36
2025-10-03,1842.02
2025-10-04,1842.02
2025-10-05,1842.02
2025-10-06,1853.69
2025-10-07,1861.07
2025-10-08,1889.94
2025-10-09,1911.09
2025-10-10,1811.68
2025-10-11,1811.68
2025-10-12,1811.68
2025-10-13,1869.72
2025-10-14,1879.68
2025-10-15,1922.41
2025-10-16,1925.7
2025-10-17,1939.8
2025-10-18,1939.8
2025-10-19,1939.8
2025-10-20,1964.68
2025-10-21,1918.05
2025-10-22,1927.47
2025-10-23,1938.11
2025-10-24,1990.49
2025-10-25,1990.49
2025-10-26,1990.49
2025-10-27,2060.09
2025-10-28,2060.09
2025-10-29,2060.09
2025-10-30,2060.09
2025-10-31,2058.09
2025-11-01,2058.09
2025-11-02,2058.09
2025-11-03,2024.32
2025-11-04,1991.34
2025-11-05,2018.73
2025-11-06,1964.74
2025-11-07,1973.53
2025-11-08,1973.53
2025-11-09,1973.53
2025-11-10,2005.43
2025-11-11,1990.58
2025-11-12,1933.22
2025-11-13,1936.01
2025-11-14,1934.64
2025-11-15,1934.64
2025-11-16,1934.64
2025-11-17,1910.99
2025-11-18,1897.28
2025-11-19,1873.89
2025-11-20,1870.17
2025-11-21,1886.36
2025-11-22,1886.36
2025-11-23,1886.36
2025-11-24,1946.04
2025-11-25,2017.59
2025-11-26,2017.59
2025-11-27,2017.59
2025-11-28,2017.59
2025-11-29,2017.59
2025-11-30,2017.59
2025-12-01,2017.59
2025-12-02,2017.59
2025-12-03,2017.59
2025-12-04,2017.59
2025-12-05,2017.59
2025-12-06,2017.59
2025-12-07,2017.59
2025-12-08,2015.59
2025-12-09,2013.92
2025-12-10,1930.63
2025-12-11,1959.36
2025-12-12,1982.27
2025-12-13,1982.27
2025-12-14,1982.27
2025-12-15,1952.7
2025-12-16,1969.36
2025-12-17,1973.94
2025-12-18,1957.49
2025-12-19,1965.61
2025-12-20,1965.61
2025-12-21,1965.61
2025-12-22,1941.45
2025-12-23,1947.08
2025-12-24,1947.99
2025-12-25,1947.99
2025-12-26,1947.99
2025-12-27,1947.99
2025-12-28,1947.99
2025-12-29,1947.99
2025-12-30,1947.99
2025-12-31,1947.99
2026-01-01,1947.99
2026-01-02,1947.99
2026-01-03,1947.99
2026-01-04,1947.99
2026-01-05,1945.99
2026-01-06,1943.13
2026-01-07,1934.54
2026-01-08,1986.95
2026-01-09,2019.6
2026-01-10,2019.6
2026-01-11,2019.6
2026-01-12,2019.32
2026-01-13,2040.51
2026-01-14,2046.24
2026-01-15,2018.75
2026-01-16,2017.6
2026-01-17,2017.6
2026-01-18,2017.6
2026-01-19,2017.6
2026-01-20,2055.12
2026-01-21,2058.57
2026-01-22,2014.68
2026-01-23,2076.9
2026-01-24,2076.9
2026-01-25,2076.9
2026-01-26,2066.77
2026-01-27,2063.87
2026-01-28,2041.21
2026-01-29,2005.51
2026-01-30,2013.47
2026-01-31,2013.47
2026-02-01,2013.47
2026-02-02,1995.87
2026-02-03,1927.86
2026-02-04,1933.16
2026-02-05,1950.29
2026-02-06,1978.36
2026-02-07,1978.36
2026-02-08,1978.36
2026-02-09,1963.31
2026-02-10,1963.31
