Date,Action,Ticker,Price,Reason,Balance
2025-01-02,BUY,COST,903.85,撿屍體 (RSI: 12.0),998.0
2025-01-17,SELL,COST,937.01,💤 持有過久 (15天),1032.62
2025-01-27,BUY,NVDA,118.39,撿屍體 (RSI: 32.0),1030.62
2025-02-10,SELL,NVDA,133.53,💰 獲利達標 (+12.8%),1160.47
2025-02-11,BUY,TSLA,328.5,撿屍體 (RSI: 18.3),1158.47
2025-02-26,SELL,TSLA,290.8,💀 止損 (-10%),1023.52
2025-02-27,BUY,TSLA,281.95,撿屍體 (RSI: 21.2),1021.52
2025-03-10,SELL,TSLA,222.15,💀 止損 (-10%),802.86
2025-03-11,BUY,JPM,224.54,撿屍體 (RSI: 12.7),800.86
2025-03-26,SELL,JPM,245.99,💤 持有過久 (15天),875.37
2025-04-03,BUY,NVDA,101.78,撿屍體 (RSI: 23.6),873.37
2025-04-09,SELL,NVDA,114.31,💰 獲利達標 (+12.3%),978.86
2025-04-21,BUY,UNH,416.88,撿屍體 (RSI: 32.8),976.86
2025-05-09,SELL,UNH,373.08,💀 止損 (-10%),872.22
2025-05-12,BUY,KO,68.04,撿屍體 (RSI: 23.1),870.22
2025-05-27,SELL,KO,70.24,💤 持有過久 (15天),896.38
2025-06-05,BUY,TSLA,284.7,撿屍體 (RSI: 29.5),894.38
2025-06-10,SELL,TSLA,326.09,💰 獲利達標 (+14.5%),1022.41
2025-06-20,BUY,KO,67.84,撿屍體 (RSI: 28.4),1020.41
2025-07-07,SELL,KO,69.98,💤 持有過久 (17天),1050.58
2025-07-16,BUY,COST,947.42,撿屍體 (RSI: 30.5),1048.58
2025-07-31,SELL,COST,935.74,💤 持有過久 (15天),1033.65
2025-08-01,BUY,UNH,234.7,撿屍體 (RSI: 19.2),1031.65
2025-08-12,SELL,UNH,258.19,💰 獲利達標 (+10.0%),1132.91
2025-09-02,BUY,NVDA,170.76,撿屍體 (RSI: 29.3),1130.91
2025-09-17,SELL,NVDA,170.28,💤 持有過久 (15天),1125.73
2025-09-24,BUY,AMZN,220.21,撿屍體 (RSI: 30.5),1123.73
2025-10-09,SELL,AMZN,227.74,💤 持有過久 (15天),1160.16
2025-10-10,BUY,GOOGL,236.42,撿屍體 (RSI: 25.7),1158.16
2025-10-27,SELL,GOOGL,269.09,💰 獲利達標 (+13.8%),1316.24
2025-10-31,BUY,UNH,339.28,撿屍體 (RSI: 34.3),1314.24
2025-11-25,SELL,UNH,324.1,💤 持有過久 (25天),1253.45
2025-12-17,BUY,AMD,198.11,撿屍體 (RSI: 32.6),1251.45
2026-01-02,SELL,AMD,223.47,💰 獲利達標 (+12.8%),1409.65
2026-01-05,BUY,KO,67.94,撿屍體 (RSI: 26.3),1407.65
2026-01-20,SELL,KO,71.75,💤 持有過久 (15天),1484.59
2026-01-21,BUY,MSFT,444.11,撿屍體 (RSI: 20.4),1482.59
2026-02-05,SELL,MSFT,393.67,💀 止損 (-10%),1312.2
2026-02-06,BUY,AMZN,210.32,撿屍體 (RSI: 27.8),1310.2
