Date,Equity
2024-01-01,1000.0
2024-01-02,1000.0
2024-01-03,1000.0
2024-01-04,1000.0
2024-01-05,1000.0
2024-01-06,1000.0
2024-01-07,1000.0
2024-01-08,1000.0
2024-01-09,1000.0
2024-01-10,1000.0
2024-01-11,998.0
2024-01-12,961.41
2024-01-13,961.41
2024-01-14,961.41
2024-01-15,961.41
2024-01-16,965.89
2024-01-17,946.74
2024-01-18,930.62
2024-01-19,931.98
2024-01-20,931.98
2024-01-21,931.98
2024-01-22,917.1
2024-01-23,918.59
2024-01-24,912.83
2024-01-25,798.15
2024-01-26,800.86
2024-01-27,800.86
2024-01-28,800.86
2024-01-29,834.42
2024-01-30,837.31
2024-01-31,818.52
2024-02-01,825.38
2024-02-02,821.23
2024-02-03,821.23
2024-02-04,821.23
2024-02-05,791.29
2024-02-06,808.95
2024-02-07,819.78
2024-02-08,828.44
2024-02-09,845.96
2024-02-10,845.96
2024-02-11,845.96
2024-02-12,820.19
2024-02-13,820.19
2024-02-14,820.19
2024-02-15,820.19
2024-02-16,820.19
2024-02-17,820.19
2024-02-18,820.19
2024-02-19,820.19
2024-02-20,820.19
2024-02-21,820.19
2024-02-22,820.19
2024-02-23,820.19
2024-02-24,820.19
2024-02-25,820.19
2024-02-26,820.19
2024-02-27,820.19
2024-02-28,818.19
2024-02-29,810.5
2024-03-01,803.82
2024-03-02,803.82
2024-03-03,803.82
2024-03-04,791.24
2024-03-05,776.92
2024-03-06,776.02
2024-03-07,786.17
2024-03-08,785.62
2024-03-09,785.62
2024-03-10,785.62
2024-03-11,806.36
2024-03-12,806.69
2024-03-13,804.47
2024-03-14,806.12
2024-03-15,807.12
2024-03-16,807.12
2024-03-17,807.12
2024-03-18,807.12
2024-03-19,807.12
2024-03-20,807.12
2024-03-21,807.12
2024-03-22,807.12
2024-03-23,807.12
2024-03-24,807.12
2024-03-25,807.12
2024-03-26,807.12
2024-03-27,807.12
2024-03-28,807.12
2024-03-29,807.12
2024-03-30,807.12
2024-03-31,807.12
2024-04-01,807.12
2024-04-02,805.12
2024-04-03,807.93
2024-04-04,800.26
2024-04-05,800.9
2024-04-06,800.9
2024-04-07,800.9
2024-04-08,801.35
2024-04-09,807.89
2024-04-10,790.9
2024-04-11,776.26
2024-04-12,771.83
2024-04-13,771.83
2024-04-14,771.83
2024-04-15,783.13
2024-04-16,824.01
2024-04-17,841.76
2024-04-18,862.69
2024-04-19,846.12
2024-04-20,846.12
2024-04-21,846.12
2024-04-22,817.35
2024-04-23,832.48
2024-04-24,932.89
2024-04-25,979.21
2024-04-26,968.34
2024-04-27,968.34
2024-04-28,968.34
2024-04-29,1112.56
2024-04-30,1106.26
2024-05-01,1129.45
2024-05-02,1135.86
2024-05-03,1162.29
2024-05-04,1162.29
2024-05-05,1162.29
2024-05-06,1197.58
2024-05-07,1204.16
2024-05-08,1215.37
2024-05-09,1222.63
2024-05-10,1224.63
2024-05-11,1224.63
2024-05-12,1224.63
2024-05-13,1203.57
2024-05-14,1213.45
2024-05-15,1236.36
2024-05-16,1236.36
2024-05-17,1236.36
2024-05-18,1236.36
2024-05-19,1236.36
2024-05-20,1236.36
2024-05-21,1236.36
2024-05-22,1236.36
2024-05-23,1236.36
2024-05-24,1236.36
2024-05-25,1236.36
2024-05-26,1236.36
2024-05-27,1236.36
2024-05-28,1236.36
2024-05-29,1236.36
2024-05-30,1234.36
2024-05-31,1251.89
2024-06-01,1251.89
2024-06-02,1251.89
2024-06-03,1239.79
2024-06-04,1259.05
2024-06-05,1256.16
2024-06-06,1254.06
2024-06-07,1248.18
2024-06-08,1248.18
2024-06-09,1248.18
2024-06-10,1210.67
2024-06-11,1204.62
2024-06-12,1195.57
2024-06-13,1191.92
2024-06-14,1195.42
2024-06-15,1195.42
2024-06-16,1195.42
2024-06-17,1210.43
2024-06-18,1208.43
2024-06-19,1208.43
2024-06-20,1264.3
2024-06-21,1260.0
2024-06-22,1260.0
2024-06-23,1260.0
2024-06-24,1252.35
2024-06-25,1252.35
2024-06-26,1231.17
2024-06-27,1246.25
2024-06-28,1267.66
2024-06-29,1267.66
2024-06-30,1267.66
2024-07-01,1232.34
2024-07-02,1284.07
2024-07-03,1280.87
2024-07-04,1280.87
2024-07-05,1341.39
2024-07-06,1341.39
2024-07-07,1341.39
2024-07-08,1341.39
2024-07-09,1341.39
2024-07-10,1341.39
2024-07-11,1341.39
2024-07-12,1339.39
2024-07-13,1339.39
2024-07-14,1339.39
2024-07-15,1357.69
2024-07-16,1357.43
2024-07-17,1339.1
2024-07-18,1329.96
2024-07-19,1309.9
2024-07-20,1309.9
2024-07-21,1309.9
2024-07-22,1339.18
2024-07-23,1329.38
2024-07-24,1315.38
2024-07-25,1311.45
2024-07-26,1305.82
2024-07-27,1305.82
2024-07-28,1305.82
2024-07-29,1294.7
2024-07-30,1292.7
2024-07-31,1458.32
2024-08-01,1360.99
2024-08-02,1336.82
2024-08-03,1336.82
2024-08-04,1336.82
2024-08-05,1251.83
2024-08-06,1299.18
2024-08-07,1232.63
2024-08-08,1308.15
2024-08-09,1305.41
2024-08-10,1305.41
2024-08-11,1305.41
2024-08-12,1358.63
2024-08-13,1447.36
2024-08-14,1471.53
2024-08-15,1529.1
2024-08-16,1529.1
2024-08-17,1529.1
2024-08-18,1529.1
2024-08-19,1529.1
2024-08-20,1529.1
2024-08-21,1529.1
2024-08-22,1529.1
2024-08-23,1529.1
2024-08-24,1529.1
2024-08-25,1529.1
2024-08-26,1529.1
2024-08-27,1529.1
2024-08-28,1529.1
2024-08-29,1529.1
2024-08-30,1529.1
2024-08-31,1529.1
2024-09-01,1529.1
2024-09-02,1529.1
2024-09-03,1529.1
2024-09-04,1529.1
2024-09-05,1529.1
2024-09-06,1527.1
2024-09-07,1527.1
2024-09-08,1527.1
2024-09-09,1540.9
2024-09-10,1540.9
2024-09-11,1562.39
2024-09-12,1604.42
2024-09-13,1601.43
2024-09-14,1601.43
2024-09-15,1601.43
2024-09-16,1629.42
2024-09-17,1638.71
2024-09-18,1643.69
2024-09-19,1708.31
2024-09-20,1715.19
2024-09-21,1715.19
2024-09-22,1715.19
2024-09-23,1722.54
2024-09-24,1722.54
2024-09-25,1722.54
2024-09-26,1722.54
