Date,Equity
2025-01-01,1000.0
2025-01-02,998.0
2025-01-03,1005.43
2025-01-04,1005.43
2025-01-05,1005.43
2025-01-06,1012.15
2025-01-07,1010.68
2025-01-08,1017.26
2025-01-09,1017.26
2025-01-10,1027.76
2025-01-11,1027.76
2025-01-12,1027.76
2025-01-13,1014.33
2025-01-14,1006.14
2025-01-15,1013.02
2025-01-16,1008.9
2025-01-17,1034.62
2025-01-18,1034.62
2025-01-19,1034.62
2025-01-20,1034.62
2025-01-21,1037.6
2025-01-22,1037.6
2025-01-23,1037.6
2025-01-24,1037.6
2025-01-25,1037.6
2025-01-26,1037.6
2025-01-27,1035.6
2025-01-28,1128.03
2025-01-29,1081.77
2025-01-30,1090.08
2025-01-31,1050.03
2025-02-01,1050.03
2025-02-02,1050.03
2025-02-03,1020.2
2025-02-04,1037.61
2025-02-05,1091.65
2025-02-06,1125.32
2025-02-07,1135.46
2025-02-08,1135.46
2025-02-09,1135.46
2025-02-10,1168.08
2025-02-11,1161.35
2025-02-12,1144.83
2025-02-13,1144.83
2025-02-14,1144.83
2025-02-15,1144.83
2025-02-16,1144.83
2025-02-17,1144.83
2025-02-18,1142.83
2025-02-19,1166.36
2025-02-20,1146.69
2025-02-21,1064.53
2025-02-22,1064.53
2025-02-23,1064.53
2025-02-24,1053.34
2025-02-25,1073.56
2025-02-26,1058.07
2025-02-27,1069.41
2025-02-28,1084.02
2025-03-01,1084.02
2025-03-02,1084.02
2025-03-03,1065.96
2025-03-04,1083.22
2025-03-05,1086.35
2025-03-06,1109.14
2025-03-07,1090.48
2025-03-08,1090.48
2025-03-09,1090.48
2025-03-10,1060.58
2025-03-11,1095.36
2025-03-12,1125.44
2025-03-13,1089.33
2025-03-14,1123.38
2025-03-15,1123.38
2025-03-16,1123.38
2025-03-17,1162.57
2025-03-18,1138.04
2025-03-19,1174.16
2025-03-20,1163.57
2025-03-21,1175.14
2025-03-22,1175.14
2025-03-23,1175.14
2025-03-24,1187.45
2025-03-25,1187.45
2025-03-26,1187.45
2025-03-27,1187.45
2025-03-28,1187.45
2025-03-29,1187.45
2025-03-30,1187.45
2025-03-31,1187.45
2025-04-01,1187.45
2025-04-02,1187.45
2025-04-03,1185.45
2025-04-04,1098.23
2025-04-05,1098.23
2025-04-06,1098.23
2025-04-07,1137.01
2025-04-08,1121.41
2025-04-09,1331.36
2025-04-10,1252.64
2025-04-11,1291.77
2025-04-12,1291.77
2025-04-13,1291.77
2025-04-14,1289.21
2025-04-15,1306.56
2025-04-16,1216.78
2025-04-17,1181.84
2025-04-18,1181.84
2025-04-19,1181.84
2025-04-20,1181.84
2025-04-21,1124.51
2025-04-22,1129.4
2025-04-23,1131.46
2025-04-24,1121.65
2025-04-25,1106.82
2025-04-26,1106.82
2025-04-27,1106.82
2025-04-28,1110.42
2025-04-29,1081.94
2025-04-30,1087.79
2025-05-01,1059.34
2025-05-02,1057.33
2025-05-03,1057.33
2025-05-04,1057.33
2025-05-05,1070.26
2025-05-06,1043.03
2025-05-07,1033.91
2025-05-08,1019.34
2025-05-09,1006.36
2025-05-10,1006.36
2025-05-11,1006.36
2025-05-12,1001.36
2025-05-13,819.24
2025-05-14,821.62
2025-05-15,850.72
2025-05-16,855.36
2025-05-17,855.36
2025-05-18,855.36
2025-05-19,854.53
2025-05-20,851.68
2025-05-21,853.58
2025-05-22,845.14
2025-05-23,852.63
2025-05-24,852.63
2025-05-25,852.63
2025-05-26,852.63
2025-05-27,852.74
2025-05-28,845.26
2025-05-29,847.3
2025-05-30,847.3
2025-05-31,847.3
2025-06-01,847.3
2025-06-02,847.3
2025-06-03,847.3
2025-06-04,847.3
2025-06-05,845.3
2025-06-06,876.3
2025-06-07,876.3
2025-06-08,876.3
2025-06-09,916.2
2025-06-10,968.19
2025-06-11,969.2
2025-06-12,947.47
2025-06-13,965.87
2025-06-14,965.87
2025-06-15,965.87
2025-06-16,977.22
2025-06-17,939.27
2025-06-18,956.19
2025-06-19,956.19
2025-06-20,956.52
2025-06-21,956.52
2025-06-22,956.52
2025-06-23,1033.26
2025-06-24,1033.26
2025-06-25,1033.26
2025-06-26,1033.26
2025-06-27,1033.26
2025-06-28,1033.26
2025-06-29,1033.26
2025-06-30,1033.26
2025-07-01,1033.26
2025-07-02,1033.26
2025-07-03,1033.26
2025-07-04,1033.26
2025-07-05,1033.26
2025-07-06,1033.26
2025-07-07,1033.26
2025-07-08,1033.26
2025-07-09,1033.26
2025-07-10,1033.26
2025-07-11,1033.26
2025-07-12,1033.26
2025-07-13,1033.26
2025-07-14,1033.26
2025-07-15,1033.26
2025-07-16,1031.26
2025-07-17,1034.01
2025-07-18,1030.81
2025-07-19,1030.81
2025-07-20,1030.81
2025-07-21,1027.13
2025-07-22,1020.68
2025-07-23,1020.23
2025-07-24,1012.22
2025-07-25,1014.04
2025-07-26,1014.04
2025-07-27,1014.04
2025-07-28,1012.42
2025-07-29,1013.05
2025-07-30,1005.4
2025-07-31,1018.55
2025-08-01,1029.94
2025-08-02,1029.94
2025-08-03,1029.94
2025-08-04,1043.84
2025-08-05,1087.25
2025-08-06,1064.64
2025-08-07,1059.83
2025-08-08,1086.77
2025-08-09,1086.77
2025-08-10,1086.77
2025-08-11,1093.18
2025-08-12,1133.03
2025-08-13,1177.39
2025-08-14,1176.0
2025-08-15,1314.87
2025-08-16,1314.87
2025-08-17,1314.87
2025-08-18,1314.87
2025-08-19,1314.87
2025-08-20,1314.87
2025-08-21,1314.87
2025-08-22,1314.87
2025-08-23,1314.87
2025-08-24,1314.87
2025-08-25,1314.87
2025-08-26,1314.87
2025-08-27,1314.87
2025-08-28,1314.87
2025-08-29,1314.87
2025-08-30,1314.87
2025-08-31,1314.87
2025-09-01,1314.87
2025-09-02,1312.87
2025-09-03,1311.64
2025-09-04,1319.63
2025-09-05,1283.96
2025-09-06,1283.96
2025-09-07,1283.96
2025-09-08,1293.88
2025-09-09,1312.71
2025-09-10,1363.22
2025-09-11,1362.07
2025-09-12,1367.06
2025-09-13,1367.06
2025-09-14,1367.06
2025-09-15,1366.53
2025-09-16,1344.46
2025-09-17,1309.17
2025-09-18,1352.92
2025-09-19,1352.92
2025-09-20,1352.92
2025-09-21,1352.92
2025-09-22,1352.92
2025-09-23,1352.92
2025-09-24,1350.92
2025-09-25,1338.28
2025-09-26,1348.28
2025-09-27,1348.28
2025-09-28,1348.28
2025-09-29,1362.94
2025-09-30,1346.99
2025-10-01,1353.49
2025-10-02,1364.41
2025-10-03,1346.62
2025-10-04,1346.62
2025-10-05,1346.62
2025-10-06,1355.15
2025-10-07,1360.55
2025-10-08,1381.65
2025-10-09,1397.11
2025-10-10,1323.36
2025-10-11,1323.36
2025-10-12,1323.36
2025-10-13,1365.76
2025-10-14,1373.03
2025-10-15,1404.25
2025-10-16,1406.65
2025-10-17,1416.95
2025-10-18,1416.95
2025-10-19,1416.95
2025-10-20,1435.13
2025-10-21,1401.06
2025-10-22,1407.94
2025-10-23,1415.72
2025-10-24,1453.98
2025-10-25,1453.98
2025-10-26,1453.98
2025-10-27,1504.28
2025-10-28,1504.28
2025-10-29,1504.28
2025-10-30,1504.28
2025-10-31,1502.28
2025-11-01,1502.28
2025-11-02,1502.28
2025-11-03,1477.63
2025-11-04,1453.55
2025-11-05,1473.55
2025-11-06,1434.14
2025-11-07,1440.56
2025-11-08,1440.56
2025-11-09,1440.56
2025-11-10,1463.84
2025-11-11,1453.0
2025-11-12,1411.13
2025-11-13,1413.17
2025-11-14,1412.17
2025-11-15,1412.17
2025-11-16,1412.17
2025-11-17,1394.91
2025-11-18,1384.9
2025-11-19,1367.82
2025-11-20,1365.11
2025-11-21,1376.93
2025-11-22,1376.93
2025-11-23,1376.93
2025-11-24,1420.49
2025-11-25,1472.18
2025-11-26,1472.18
2025-11-27,1472.18
2025-11-28,1472.18
2025-11-29,1472.18
2025-11-30,1472.18
2025-12-01,1472.18
2025-12-02,1472.18
2025-12-03,1472.18
2025-12-04,1472.18
2025-12-05,1472.18
2025-12-06,1472.18
2025-12-07,1472.18
2025-12-08,1470.18
2025-12-09,1468.96
2025-12-10,1408.2
2025-12-11,1429.16
2025-12-12,1445.87
2025-12-13,1445.87
2025-12-14,1445.87
2025-12-15,1424.3
2025-12-16,1436.46
2025-12-17,1439.8
2025-12-18,1427.8
2025-12-19,1433.72
2025-12-20,1433.72
2025-12-21,1433.72
2025-12-22,1416.1
2025-12-23,1420.2
2025-12-24,1420.33
2025-12-25,1420.33
2025-12-26,1420.33
2025-12-27,1420.33
2025-12-28,1420.33
2025-12-29,1420.33
2025-12-30,1420.33
2025-12-31,1420.33
2026-01-01,1420.33
2026-01-02,1420.33
2026-01-03,1420.33
2026-01-04,1420.33
2026-01-05,1418.33
2026-01-06,1416.24
2026-01-07,1409.98
2026-01-08,1448.18
2026-01-09,1471.98
2026-01-10,1471.98
2026-01-11,1471.98
2026-01-12,1471.77
2026-01-13,1487.22
2026-01-14,1491.4
2026-01-15,1471.36
2026-01-16,1470.52
2026-01-17,1470.52
2026-01-18,1470.52
2026-01-19,1470.52
2026-01-20,1497.87
2026-01-21,1499.3
2026-01-22,1467.33
2026-01-23,1512.64
2026-01-24,1512.64
2026-01-25,1512.64
2026-01-26,1505.27
2026-01-27,1503.16
2026-01-28,1486.65
2026-01-29,1460.65
2026-01-30,1466.45
2026-01-31,1466.45
2026-02-01,1466.45
2026-02-02,1453.63
2026-02-03,1404.1
2026-02-04,1407.96
2026-02-05,1420.43
2026-02-06,1439.79
2026-02-07,1439.79
2026-02-08,1439.79
2026-02-09,1428.84
2026-02-10,1428.84
