Date,Action,Ticker,Price,Reason,Balance
2025-01-02,BUY,COST,903.85,RSI: 12.0,0.0
2025-01-21,SELL,COST,941.52,💤 資金卡死 (19天),1037.6
2025-01-27,BUY,NVDA,118.39,RSI: 32.0,0.0
2025-02-12,SELL,NVDA,131.1,💤 資金卡死 (16天),1144.83
2025-02-18,BUY,UNH,488.7,RSI: 26.7,0.0
2025-03-06,SELL,UNH,476.0,💤 資金卡死 (16天),1111.14
2025-03-06,BUY,NFLX,90.64,RSI: 25.4,0.0
2025-03-24,SELL,NFLX,97.2,💤 資金卡死 (18天),1187.45
2025-04-03,BUY,NVDA,101.78,RSI: 23.6,0.0
2025-04-21,SELL,NVDA,96.89,💤 資金卡死 (18天),1126.51
2025-04-21,BUY,UNH,416.88,RSI: 32.8,0.0
2025-05-13,SELL,UNH,305.19,💀 止損 (-15%),821.24
2025-05-13,BUY,KO,67.48,RSI: 23.1,0.0
2025-05-29,SELL,KO,69.95,💤 資金卡死 (16天),847.3
2025-06-05,BUY,TSLA,284.7,RSI: 29.5,0.0
2025-06-23,SELL,TSLA,348.68,💰 獲利達標 (+22.5%),1033.26
2025-07-16,BUY,COST,947.42,RSI: 30.5,0.0
2025-08-01,SELL,COST,949.88,💤 資金卡死 (16天),1031.94
2025-08-01,BUY,UNH,234.7,RSI: 19.2,0.0
2025-08-15,SELL,UNH,300.09,💰 獲利達標 (+27.9%),1314.87
2025-09-02,BUY,NVDA,170.76,RSI: 29.3,0.0
2025-09-18,SELL,NVDA,176.23,💤 資金卡死 (16天),1352.92
2025-09-24,BUY,AMZN,220.21,RSI: 30.5,0.0
2025-10-10,SELL,AMZN,216.37,💤 資金卡死 (16天),1325.36
2025-10-10,BUY,GOOGL,236.42,RSI: 25.7,0.0
2025-10-27,SELL,GOOGL,269.09,💤 資金卡死 (17天),1504.28
2025-10-31,BUY,META,647.82,RSI: 29.5,0.0
2025-11-25,SELL,META,635.7,💤 資金卡死 (25天),1472.18
2025-12-08,BUY,NFLX,96.79,RSI: 31.4,0.0
2025-12-24,SELL,NFLX,93.64,💤 資金卡死 (16天),1420.33
2026-01-05,BUY,KO,67.94,RSI: 26.3,0.0
2026-01-21,SELL,KO,72.01,💤 資金卡死 (16天),1501.3
2026-01-21,BUY,NFLX,85.36,RSI: 12.9,0.0
2026-02-06,SELL,NFLX,82.2,💤 資金卡死 (16天),1441.79
2026-02-06,BUY,AMZN,210.32,RSI: 27.8,0.0
2026-02-23,SELL,AMZN,205.27,💤 資金卡死 (17天),1403.22
